check,path,needle,status
contract,alrajhi_client/workspace/quality/basit_shell_chrome_contract.py,BASIT_SHELL_CHROME_CONTRACT,OK
brand_shell_bg,alrajhi_client/theme/brand.py,basit_shell_bg,OK
brand_shell_menu,alrajhi_client/theme/brand.py,basit_shell_menu_bg,OK
brand_shell_active,alrajhi_client/theme/brand.py,basit_shell_active_bg,OK
nav_phase406,alrajhi_client/views/main_window.py,Phase406: Basit-inspired shell navigation chrome,OK
nav_property,alrajhi_client/views/main_window.py,basitShellChrome,OK
action_phase406,alrajhi_client/shell/unified_action_bar.py,Phase406: Basit-inspired shared action bar runtime,OK
action_property,alrajhi_client/shell/unified_action_bar.py,basitShellChrome,OK
tabs_phase406,alrajhi_client/shell/tab_workspace.py,Phase406: Basit-inspired workspace tab cards,OK
tabs_property,alrajhi_client/shell/tab_workspace.py,basitShellTabs,OK
qss_fallback,alrajhi_client/theme/qss.py,Phase406: Basit-inspired shell chrome fallback,OK
