target,check,status,detail
customers,parse,ok,alrajhi_client/views/widgets/customers_widget.py
customers,marker:QStackedWidget,ok,QStackedWidget
customers,marker:detail_stack,ok,detail_stack
customers,marker:_show_inline_party_editor,ok,_show_inline_party_editor
customers,marker:PartyEditorTab,ok,PartyEditorTab
customers,marker:_after_inline_party_saved,ok,_after_inline_party_saved
customers,add_customer:no_open_party_document,ok,"AddEntityDialog,exec_,show_toast,_show_inline_party_editor,refresh,tr,tr"
customers,edit_customer:no_open_party_document,ok,"get_id,hasattr,current_source_row,row,_show_inline_party_editor,show_toast,tr,tr"
suppliers,parse,ok,alrajhi_client/views/widgets/suppliers_widget.py
suppliers,marker:QStackedWidget,ok,QStackedWidget
suppliers,marker:detail_stack,ok,detail_stack
suppliers,marker:_show_inline_party_editor,ok,_show_inline_party_editor
suppliers,marker:PartyEditorTab,ok,PartyEditorTab
suppliers,marker:_after_inline_party_saved,ok,_after_inline_party_saved
suppliers,add_supplier:no_open_party_document,ok,"AddEntityDialog,exec_,show_toast,_show_inline_party_editor,refresh,tr,tr"
suppliers,edit_supplier:no_open_party_document,ok,"get_id,hasattr,current_source_row,row,_show_inline_party_editor,show_toast,tr,tr"
vouchers,parse,ok,alrajhi_client/views/widgets/vouchers_widget.py
vouchers,marker:QStackedWidget,ok,QStackedWidget
vouchers,marker:add_receipt_action,ok,add_receipt_action
vouchers,marker:add_payment_action,ok,add_payment_action
vouchers,marker:add_expense_action,ok,add_expense_action
vouchers,marker:_show_inline_voucher_editor,ok,_show_inline_voucher_editor
vouchers,marker:VoucherEditorTab,ok,VoucherEditorTab
vouchers,marker:ExpenseDocumentTab,ok,ExpenseDocumentTab
vouchers,add_voucher:no_open_quick_voucher,ok,"require,_show_inline_voucher_editor,show_toast,show_toast,tr,str,tr,tr,str"
vouchers,edit_voucher:no_open_quick_voucher,ok,"get_id,hasattr,current_source_row,row,row,get,_show_inline_voucher_editor,show_toast,tr,get"
vouchers,inline_type:receipt,ok,receipt
vouchers,inline_type:payment,ok,payment
vouchers,inline_type:expense,ok,expense
