kind,page_id,module,class,manifest,build_script,module_exists,status
collect_submodules,,alrajhi_client.views,,True,True,True,ok
collect_submodules,,alrajhi_client.views.apparel,,True,True,True,ok
collect_submodules,,alrajhi_client.views.cafe,,True,True,True,ok
collect_submodules,,alrajhi_client.views.dialogs,,True,True,True,ok
collect_submodules,,alrajhi_client.views.restaurant,,True,True,True,ok
collect_submodules,,alrajhi_client.views.widgets,,True,True,True,ok
lazy_page_factory,apparel,alrajhi_client.views.apparel,ApparelWorkspaceWidget,True,True,True,ok
lazy_page_factory,audit_log,alrajhi_client.views.widgets.audit_log_widget,AuditLogWidget,True,True,True,ok
lazy_page_factory,branches,alrajhi_client.views.widgets.branches_widget,BranchesWidget,True,True,True,ok
lazy_page_factory,cafe,alrajhi_client.views.cafe,CafeWorkspaceWidget,True,True,True,ok
lazy_page_factory,cashboxes,alrajhi_client.views.widgets.cashboxes_widget,CashboxesWidget,True,True,True,ok
lazy_page_factory,categories,alrajhi_client.views.widgets.categories_widget,CategoriesWidget,True,True,True,ok
lazy_page_factory,customers,alrajhi_client.views.widgets.customers_widget,CustomersWidget,True,True,True,ok
lazy_page_factory,dashboard,alrajhi_client.views.widgets.dashboard_widget,DashboardWidget,True,True,True,ok
lazy_page_factory,items,alrajhi_client.views.widgets.items_widget,ItemsWidget,True,True,True,ok
lazy_page_factory,manufacturing,alrajhi_client.views.widgets.manufacturing_widget,ManufacturingWidget,True,True,True,ok
lazy_page_factory,monitoring,alrajhi_client.views.widgets.monitoring_widget,MonitoringWidget,True,True,True,ok
lazy_page_factory,offline_queue,alrajhi_client.views.widgets.offline_queue_widget,OfflineQueueWidget,True,True,True,ok
lazy_page_factory,pos,alrajhi_client.views.widgets.pos_widget,POSWidget,True,True,True,ok
lazy_page_factory,purchase_invoices,alrajhi_client.views.widgets.invoices_widget,PurchaseInvoicesWidget,True,True,True,ok
lazy_page_factory,purchase_returns,alrajhi_client.views.widgets.returns_widget,PurchaseReturnsWidget,True,True,True,ok
lazy_page_factory,reports,alrajhi_client.views.widgets.reports_widget,ReportsWidget,True,True,True,ok
lazy_page_factory,restaurant,alrajhi_client.views.restaurant.restaurant_simple_pos_widget,RestaurantSimplePOSWidget,True,True,True,ok
lazy_page_factory,returns,alrajhi_client.views.widgets.returns_widget,ReturnsWidget,True,True,True,ok
lazy_page_factory,sales_invoices,alrajhi_client.views.widgets.invoices_widget,SalesInvoicesWidget,True,True,True,ok
lazy_page_factory,settings,alrajhi_client.views.widgets.settings_widget,SettingsWidget,True,True,True,ok
lazy_page_factory,suppliers,alrajhi_client.views.widgets.suppliers_widget,SuppliersWidget,True,True,True,ok
lazy_page_factory,users,alrajhi_client.views.widgets.users_widget,UsersWidget,True,True,True,ok
lazy_page_factory,vouchers,alrajhi_client.views.widgets.vouchers_widget,VouchersWidget,True,True,True,ok
lazy_page_factory,warehouses,alrajhi_client.views.widgets.warehouses_widget,WarehousesWidget,True,True,True,ok
