key,surface,mode,objective,expected_evidence,runtime_required,pyqt_runtime_status
shell_ar_rtl_snapshot,shell,QWidget tree + screenshot,Open MainWindow in Arabic RTL and capture the full shell widget tree and top navigation screenshot.,Exactly one CleanShellNavigationBar is visible; no ModernTopBar/IconMenuBar/MainNavToolButton remains in the visible tree.,True,NEEDS_LOCAL_QT_RUNTIME
shell_de_ltr_snapshot,shell,QWidget tree + screenshot,Open MainWindow in German/English LTR and capture the shell widget tree after language direction switch.,The top-left paint surface remains owned by CleanShellNavigationBar and has no orphan hidden topbar overlap.,True,NEEDS_LOCAL_QT_RUNTIME
sales_invoice_enter_route,editable_grid,QTest key navigation,"Open a sales invoice line grid, type into item/barcode, then press Enter through unit, qty, price, discount, tax, total and notes.",The focus follows the semantic route and never falls back to physical-column traversal.,True,NEEDS_LOCAL_QT_RUNTIME
sales_invoice_shift_enter_route,editable_grid,QTest reverse navigation,Press Shift+Enter from qty/unit/item cells in the sales invoice grid.,The focus returns to the previous semantic editable column without leaving the row unexpectedly.,True,NEEDS_LOCAL_QT_RUNTIME
sales_invoice_value_preservation,editable_grid,QTest editor commit,"Place an existing item/unit/qty/price value in the grid, open the editor and press Enter without changing text.","Existing values are preserved; Enter is confirmation/navigation, not a delete operation.",True,NEEDS_LOCAL_QT_RUNTIME
sales_invoice_single_trailing_row,editable_grid,QTest row lifecycle,Press Enter at the end of the last completed sales invoice line several times.,At most one trailing empty line exists after every key press.,True,NEEDS_LOCAL_QT_RUNTIME
sales_invoice_hidden_column_route,editable_grid,QTest column visibility,Hide discount/tax/available columns and press Enter through the sales invoice row.,The route skips hidden columns and does not stop on non-editable columns unless the policy intentionally permits it.,True,NEEDS_LOCAL_QT_RUNTIME
purchase_invoice_enter_route,editable_grid,QTest key navigation,Repeat the semantic Enter route on purchase invoices using cost instead of sales price where applicable.,Purchase invoice traversal follows the same central engine and creates one trailing row only.,True,NEEDS_LOCAL_QT_RUNTIME
returns_enter_route,editable_grid,QTest key navigation,"Run Enter navigation on sales and purchase return grids, including reason/restock fields.",Return grids do not use local eventFilter or duplicate dataChanged row append logic.,True,NEEDS_LOCAL_QT_RUNTIME
bom_inventory_enter_route,editable_grid,QTest key navigation,Run Enter navigation on BOM/manufacturing and inventory-transfer editable grids.,BOM and transfer grids use the same row lifecycle gate or are explicitly listed as exceptions.,True,NEEDS_LOCAL_QT_RUNTIME
startup_login_activation_windows,startup,QWidget tree + smoke open,Open splash/login/activation/change-password surfaces and capture object names and geometries.,No overlapping password controls or orphan title-bar widgets appear in RTL/LTR layouts.,True,NEEDS_LOCAL_QT_RUNTIME
settings_preferences_runtime,settings,QSettings persistence smoke,"Toggle dashboard privacy and table preference controls, restart the runtime probe, and re-read values.",User preferences persist per user/workstation without mutating company/accounting settings.,True,NEEDS_LOCAL_QT_RUNTIME
