key,category,title,status,detail
dashboard_host_uses_stacked_surface,dashboard,Main shell hosts Dashboard through QStackedWidget instead of QTabWidget,pass,
dashboard_fixed_surface_installed,dashboard,Dashboard is installed as fixedDashboardSurface with no window title,pass,
dashboard_switch_short_circuit,dashboard,switch_page('dashboard') routes to the fixed dashboard before opening tabs,pass,
dashboard_no_visual_context_label,dashboard,Dashboard clears the action-bar context/title instead of showing a visual tab label,pass,
workspace_prevents_dashboard_tabs,tabs,TabbedWorkspace refuses fixed-surface tab ids such as dashboard,pass,
tab_close_has_empty_fallback_signal,tabs,Closing the last tab emits emptyWorkspace for dashboard fallback,pass,
tab_close_selects_neighbour,tabs,Closing a non-last tab selects previous/next valid tab,pass,
main_window_binds_empty_workspace_fallback,tabs,MainWindow binds emptyWorkspace to the fixed dashboard fallback,pass,
document_open_activates_tabbed_workspace,tabs,Opening any document activates the tabbed workspace host,pass,
singleton_open_activates_tabbed_workspace,tabs,Opening non-dashboard singleton pages activates the tabbed workspace host,pass,
save_current_closure_owned_by_saved_signal,save,Global Save invokes save; successful closure is owned by saved-signal policy,pass,
dialog_document_save_excludes_direct_accept,save,Embedded dialog document save avoids direct accept; shell closes after saved signal,pass,
return_workspace_save_uses_saved_signal_close,save,Return document tab save emits saved; shell closes the tab after success,pass,
return_accept_is_explicit_close_path,save,Return dialog close path is explicit and separate from workspace save,pass,
return_action_save_uses_saved_signal_close,save,Return action save button persists through document path; shell close follows saved signal,pass,
legacy_parent_tab_close_uses_lifecycle,tabs,Legacy document close buttons call close_tab_at when available,pass,
